run_name,model,dataset,version,seed,mode,protocol_variant,metric,estimate,ci_low,ci_high,n_customers,n_resamples
transformer_joint_dunnhumby_v7_twostage_seed2024_sample,transformer_joint,dunnhumby,v7_twostage,2024.0,sample,strict,spend_mae_raw,77.0543396893838,73.49791247739469,80.61629148055138,2498,1000
transformer_joint_dunnhumby_v7_twostage_seed42_sample,transformer_joint,dunnhumby,v7_twostage,42.0,sample,strict,bias_pct,5.877404670121846,2.7447544901007865,9.090987072714594,2498,1000
transformer_joint_dunnhumby_v7_twostage_seed42_sample,transformer_joint,dunnhumby,v7_twostage,42.0,sample,strict,clv_decile_lift,3.183645220709787,3.000428408848281,3.3791106053366655,2498,1000
transformer_joint_dunnhumby_v7_twostage_seed42_sample,transformer_joint,dunnhumby,v7_twostage,42.0,sample,strict,clv_mae,73.94171281083761,70.43694326221657,77.36829043757425,2498,1000
transformer_joint_dunnhumby_v7_twostage_seed42_sample,transformer_joint,dunnhumby,v7_twostage,42.0,sample,strict,clv_spearman,0.7589471479067055,0.7395718822429221,0.7780612564368969,2498,1000
transformer_joint_dunnhumby_v7_twostage_seed42_sample,transformer_joint,dunnhumby,v7_twostage,42.0,sample,strict,freq_mae,2.2318574129592617,2.1089666526900714,2.3496129179690657,2498,1000
transformer_joint_dunnhumby_v7_twostage_seed42_sample,transformer_joint,dunnhumby,v7_twostage,42.0,sample,strict,freq_rmse,3.7532793288947603,3.354412061538742,4.154653465760019,2498,1000
transformer_joint_dunnhumby_v7_twostage_seed42_sample,transformer_joint,dunnhumby,v7_twostage,42.0,sample,strict,spend_mae_raw,74.14338527687842,70.62557526879233,77.58210877719357,2498,1000
transformer_joint_dunnhumby_v7_twostage_seed7_sample,transformer_joint,dunnhumby,v7_twostage,7.0,sample,strict,bias_pct,11.744103381144148,8.794151324382565,14.984230021584066,2498,1000
transformer_joint_dunnhumby_v7_twostage_seed7_sample,transformer_joint,dunnhumby,v7_twostage,7.0,sample,strict,clv_decile_lift,3.240338771622611,3.0273914466007916,3.418228928712903,2498,1000
transformer_joint_dunnhumby_v7_twostage_seed7_sample,transformer_joint,dunnhumby,v7_twostage,7.0,sample,strict,clv_mae,71.9895286718018,68.43923448443613,75.64691526921774,2498,1000
