model,dataset,version,seed,mode,freq_rmse,freq_mae,freq_mape,bias_pct,spend_mae,spend_rmse,spend_r2,freq_normalized_gini,freq_weekly_mae,freq_weekly_total_true,freq_weekly_total_pred,freq_weekly_mape,freq_weekly_bias_pct,freq_mase,freq_mase_scale,run_valid,run_invalid_reason,run_warning,smearing_factor,spend_mae_raw,spend_rmse_raw,spend_normalized_gini,spend_mae_log,spend_rmse_log,spend_r2_log,spend_bias_pct,spend_weekly_mae,spend_weekly_total_true,spend_weekly_total_pred,spend_weekly_mape,spend_weekly_bias_pct,spend_mase,spend_mase_scale,clv_mae,clv_rmse,clv_spearman,clv_decile_lift,clv_normalized_gini,clv_total_true,clv_total_pred
lstm_joint,tafeng,v2,123.0,sample,1.3048259019851685,0.9460670948028564,26.729682884123875,26.729682884123875,,,,0.6396454649816016,2461.4032933522017,30127.0,38179.85211312957,46.83266676363972,32.822575034242604,0.9309748124255617,0.3518873876671712,True,,,1.718351377952747,1206.189453125,3401.92919921875,0.556552325737379,3.8406927585601807,4.897188663482666,-0.9240801334381104,83.83457600984354,4428817.053953061,23513493.88786887,43225929.82790865,99.59996979850038,89.48946235631388,1.226006967743432,289.2988732420841,1206.189453125,3401.92919921875,0.3948031946247384,3.2288030141756616,0.556552325737379,23513494.0,43225932.0
lstm_joint,tafeng,v2,42.0,sample,1.2837839126586914,0.8898659348487854,3.241790742108408,-3.241790742108408,,,,0.6223984401601597,1611.313890087232,30127.0,29150.345180442557,31.28793021988092,2.9641966832575206,0.8641840652643851,0.3518873876671712,True,,,1.674470249147977,1018.3952026367188,3178.439453125,0.54203173020203,3.7527077198028564,4.807229995727539,-0.8540408611297607,47.171849492040614,2384667.455116944,23513493.88786887,34605243.3996229,56.26199285279863,52.80435026747139,1.0809108895747008,289.2988732420841,1018.3952026367188,3178.439453125,0.3547878608442783,3.3102924348193628,0.54203173020203,23513494.0,34605244.0
lstm_joint,tafeng,v2,7.0,sample,1.5069881677627563,1.0925638675689697,56.951185294752214,56.951185294752214,,,,0.6485748780811981,3431.536702108756,30127.0,47284.68351054378,57.511137970315396,57.511137970315396,1.0050028603295798,0.3518873876671712,True,,large spend bias (109.9%),1.7486853544696088,1348.334716796875,3319.2998046875,0.5711275874376133,3.9472224712371826,5.007516384124756,-1.0117511749267578,109.8703663521891,5166872.647249004,23513493.88786887,49347857.12411389,109.7525867667797,109.7525867667797,1.3099318853082276,289.2988732420841,1348.334716796875,3319.2998046875,0.4147566366319959,3.3444167207241673,0.5711275874376133,23513494.0,49347856.0
transformer_joint,tafeng,v2,123.0,sample,1.4254422187805176,0.8830260634422302,32.47130117917483,-32.47130117917483,,,,0.6306851392540526,2565.6519048387186,30127.0,20344.371550458483,43.103439597898316,-28.368891583132587,0.7799980207482321,0.3518873876671712,True,,,1.6909645464488194,817.0760498046875,2986.277587890625,0.5551033384810794,3.5348260402679443,4.455956935882568,-0.5929841995239258,-13.860585755566571,2108985.513266383,23513493.88786887,20254385.430340957,46.49282566865062,-10.820703126446082,0.8575465180173568,289.2988732420841,817.0760498046875,2986.277587890625,0.3808971967084594,3.472822569954549,0.5551033384810794,23513494.0,20254386.0
transformer_joint,tafeng,v2,42.0,sample,1.3191708326339722,0.8526036143302917,22.422778726308625,-22.422778726308625,,,,0.6492084405713062,1351.0620310559868,30127.0,23371.689844720066,23.386245505679685,-23.386245505679685,0.7784361928976535,0.3518873876671712,True,,,1.678438846860864,833.87890625,2961.228515625,0.5725189878375475,3.558495283126831,4.511435508728027,-0.6328976154327393,0.5017969681579437,1393219.0288297809,23513493.88786887,23631485.50042281,29.822768378865977,-2.164840965160373,0.8819442780841104,289.2988732420841,833.87890625,2961.228515625,0.4036036436845566,3.4819025631496,0.5725189878375475,23513494.0,23631484.0
transformer_joint,tafeng,v2,7.0,sample,1.3258742094039917,0.8655310273170471,21.052829480200487,-21.052829480200487,,,,0.6439610538361825,1723.1498277721926,30127.0,23784.415257521905,28.936024385427157,-21.532785836712392,0.7943425432627969,0.3518873876671712,True,,,1.6616221379876566,843.0313720703125,2972.921875,0.5650546358699403,3.584768772125244,4.552189350128174,-0.6625324487686157,1.532634835129139,1237442.2218544597,23513493.88786887,23873870.573709115,27.26155794114098,-0.8898262046448381,0.8888429126783082,289.2988732420841,843.0313720703125,2972.921875,0.39634374570503783,3.4454273713216512,0.5650546358699403,23513494.0,23873870.0
pareto_nbd,uci,,,,3.4405646324157715,1.1898757219314575,11.297190267294663,-11.297190267294663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bgnbd_gg,uci,,,,1.9445929527282715,1.0193806886672974,20.858314138735405,-20.858314138735405,2.1833284663633665,3.392350947479453,-0.06882198953080354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lstm_base,uci,v2,123.0,sample,2.2306389808654785,1.2505953311920166,13.240228106799002,13.240228106799002,,,,0.7464257760591309,48.37141327864419,8413.0,9526.899995430373,15.052572966918465,13.28918855412071,0.9989860903461223,0.11463343958272965,True,,,,,,,,,,,,,,,,,,,,,,,,
lstm_base,uci,v2,42.0,sample,2.424855947494507,1.3095537424087524,21.642867623023893,21.642867623023893,,,,0.7522289943802437,70.71684233980396,8413.0,10233.814337121323,21.750225224890738,21.53259929432199,1.0434014564553535,0.11463343958272965,True,,,,,,,,,,,,,,,,,,,,,,,,
lstm_base,uci,v2,7.0,sample,2.3334901332855225,1.2510534524917603,13.764481865862354,13.764481865862354,,,,0.7517086556738234,47.84246555522371,8413.0,9571.00624394603,15.455137853369127,14.499552609620533,1.0005149610594741,0.11463343958272965,True,,,,,,,,,,,,,,,,,,,,,,,,
lstm_joint,uci,v2,123.0,sample,2.822766065597534,1.2267805337905884,3.063989510281707,-3.063989510281707,,,,0.7564590728213036,38.95363762534152,8413.0,8155.226907861419,12.328208174905958,-1.6587176442144511,0.9436926648734412,0.11463343958272965,True,,,1.2789079005369188,606.8079833984375,3295.399658203125,0.8546099672808644,2.878915309906006,3.702979326248169,-0.2151247262954712,-9.092100068679363,28222.83918084955,4266929.679746482,3878976.070092743,17.938800264341033,-5.944387739157315,1.4112746398071503,36.73676557100432,591.298095703125,3215.900146484375,0.5930788509719683,6.228691060638524,0.8551070483869568,4160751.5,3783613.5
lstm_joint,uci,v2,42.0,sample,2.7547144889831543,1.2093347311019897,14.404424560575896,-14.404424560575896,,,,0.74443970743989,55.264663592482414,8413.0,7201.155646091327,16.089535857087764,-12.810210196173749,0.8992959622501713,0.11463343958272965,True,,,1.2904456558036785,598.5591430664062,3194.15673828125,0.8501764894826956,2.8625175952911377,3.660447835922241,-0.18737173080444336,-23.067184494142683,39697.99494129128,4266929.679746482,3282668.998696942,22.504852731591924,-20.684403736116774,1.3187736073648755,36.73676557100432,583.0494995117188,3114.812744140625,0.5768141839485698,6.197748489652894,0.8506122861448159,4160751.5,3202853.0
lstm_joint,uci,v2,7.0,sample,2.8335208892822266,1.2809410095214844,3.0094909849340308,3.0094909849340308,,,,0.7654325562887371,32.593139625655915,8413.0,8666.188434099779,10.92460043263976,4.330409445276791,0.9830147709657898,0.11463343958272965,True,,,1.3257880402828992,650.4024047851562,3725.496337890625,0.8612686290636007,3.029844045639038,3.9553635120391846,-0.38640809059143066,-10.169273947460345,31178.686708845824,4266929.679746482,3833013.9041431383,19.14818525873431,-6.808394963408987,1.436897573900856,36.73676557100432,633.4715576171875,3632.333984375,0.5981710770088817,6.194489020137309,0.8616275616501429,4160751.5,3738779.5
transformer_joint,uci,v2,123.0,sample,2.4086320400238037,1.235886573791504,6.941336139011055,6.941336139011055,,,,0.7611871429286216,53.04513433092059,8413.0,8996.97536318656,18.131728842266927,10.064457754479674,0.9756144780039219,0.11463343958272965,True,,,1.1999134657396195,610.1238403320312,3223.695068359375,0.8551007280802023,2.8514809608459473,3.6812894344329834,-0.20093142986297607,-9.204804063437185,34937.917600866036,4266929.679746482,3874166.7686922424,22.12796885802182,-4.645803523294659,1.4084872391009986,36.73676557100432,594.8567504882812,3144.20068359375,0.6120484974384411,6.323600518965715,0.8553865414917559,4160751.5,3782257.25
transformer_joint,uci,v2,42.0,sample,2.364776372909546,1.263798475265503,11.440023995602044,11.440023995602044,,,,0.7570589040782135,65.29613363936257,8413.0,9375.449120758101,20.80928118335904,12.43387066468015,0.9982283301521816,0.11463343958272965,True,,,1.2392296242489458,618.50146484375,3307.54150390625,0.8566303636372427,2.8296146392822266,3.644892692565918,-0.17730164527893066,-11.45635872352707,31884.7813876005,4266929.679746482,3778094.7964206045,19.216174079579172,-8.79082530859022,1.402147700919584,36.73676557100432,602.933837890625,3226.625244140625,0.6075797355221376,6.255521209686812,0.8569440991105486,4160751.5,3685817.75
transformer_joint,uci,v2,7.0,sample,2.4664547443389893,1.2147310972213745,3.589485301765125,3.589485301765125,,,,0.7672171738773063,53.20382116860352,8413.0,8714.983368541114,17.24879510705943,7.325386383974807,0.9598121049446869,0.11463343958272965,True,,,1.3007203709347654,611.3895263671875,3081.7939453125,0.857498490431677,2.83066463470459,3.641869068145752,-0.17534923553466797,-3.934070155131459,30786.59699450843,4266929.679746482,4099065.6748042195,19.089527481150643,0.853780082702275,1.4259933090088357,36.73676557100432,596.1666870117188,3004.154541015625,0.6160173391888266,6.26310010489994,0.857853980926314,4160751.5,4003511.25
